Player,,,PA,R_prod,WAR/pos,dWAR,oWAR,WPA,BtRuns,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
MarcusSemien,,semiema01,747,182,8.9,2.2,7.5,2.261,38,2019,28,OAK,AL,162,657,123,187,43,7,33,92,87,2,102,2,0,1,11,10,8,0.285,0.369,0.522,0.892,*6
WhitMerrifield,,merriwh01,735,163,3.7,0.3,3.3,-0.498,11,2019,30,KCR,AL,162,681,105,206,41,10,16,74,45,5,126,5,0,4,8,20,10,0.302,0.348,0.463,0.811,*498/D37
RonaldAcunaJr,,acunaro01,715,187,5.7,0.9,4.8,4.282,20,2019,21,ATL,NL,156,626,127,175,22,2,41,101,76,4,188,9,0,1,8,37,9,0.28,0.365,0.518,0.883,*879/H
JonathanVillar,,villajo01,714,160,3.9,-0.1,4.8,0.239,8,2019,28,BAL,AL,162,642,111,176,33,5,24,73,61,0,176,4,2,4,8,40,9,0.274,0.339,0.453,0.792,*4*6/HD
MookieBetts,,bettsmo01,706,186,6.9,1.2,5.2,4.041,35,2019,26,BOS,AL,150,597,135,176,40,5,29,80,97,6,101,3,0,9,11,16,3,0.295,0.391,0.524,0.915,*98/DH
RhysHoskins,,hoskirh01,705,142,1.6,-1.1,1.8,-0.011,12,2019,26,PHI,NL,160,570,86,129,33,5,29,85,116,6,173,11,0,6,10,2,2,0.226,0.364,0.454,0.819,*3/D
JorgePolanco,,polanjo01,704,164,4.8,0.2,5.4,1.366,20,2019,25,MIN,AL,153,631,107,186,40,7,22,79,60,2,116,4,2,7,11,4,3,0.295,0.356,0.485,0.841,*6D/H
OzzieAlbies,,albieoz01,702,164,5.2,1.4,4.3,1.144,13,2019,22,ATL,NL,160,640,102,189,43,8,24,86,54,6,112,4,0,4,2,15,4,0.295,0.352,0.5,0.852,*4/H
RafaelDevers,,deverra01,702,212,4.9,-0.5,5.8,2.076,31,2019,22,BOS,AL,156,647,129,201,54,4,32,115,48,7,119,4,1,2,8,8,8,0.311,0.361,0.555,0.916,*5/H6D
EduardoEscobar,,escobed01,699,177,3.6,0.3,3.7,0.462,8,2019,30,ARI,NL,158,636,94,171,29,10,35,118,50,3,130,3,0,10,8,5,1,0.269,0.32,0.511,0.831,*54/HD
XanderBogaerts,,bogaexa01,698,194,5.9,-0.4,7.1,4.398,39,2019,26,BOS,AL,155,614,110,190,52,0,33,117,76,2,122,2,0,6,11,4,2,0.309,0.384,0.555,0.939,*6/HD
JosÃ©Abreu,,abreujo02,693,175,2,-1.6,2.7,2.394,18,2019,32,CHW,AL,159,634,85,180,38,1,33,123,36,4,152,13,0,10,24,2,2,0.284,0.33,0.503,0.834,*3D
PeteAlonso,,alonspe01,693,170,5.2,-1.3,5.7,3.534,42,2019,24,NYM,NL,161,597,103,155,30,2,53,120,72,6,183,21,0,3,13,1,0,0.26,0.358,0.583,0.941,*3/HD
FreddieFreeman,,freemfr01,692,196,4,-0.9,4.1,4.396,34,2019,29,ATL,NL,158,597,113,176,34,2,38,121,87,11,127,6,0,2,17,6,3,0.295,0.389,0.549,0.938,*3/H
AlexBregman,,bregmal01,690,193,9.1,1.9,7.7,4.028,57,2019,25,HOU,AL,156,554,122,164,37,2,41,112,119,2,83,9,0,8,9,5,1,0.296,0.423,0.592,1.015,*56/D
CarlosSantana,,santaca01,686,169,4.6,-0.7,4.5,3.402,34,2019,33,CLE,AL,158,573,110,161,30,1,34,93,108,12,108,3,0,2,13,4,0,0.281,0.397,0.515,0.911,*3D
PaulGoldschmidt,,goldspa01,682,160,2.4,-1,2.6,2.859,12,2019,31,STL,NL,161,597,97,155,25,1,34,97,78,2,166,2,0,3,11,3,1,0.26,0.346,0.476,0.821,*3/H
BryceHarper,,harpebr03,682,177,4.3,0.3,3.5,4.586,24,2019,26,PHI,NL,157,573,98,149,36,1,35,114,99,11,178,6,0,4,10,15,3,0.26,0.372,0.51,0.882,*9/HD
TreyMancini,,mancitr01,679,168,3.5,-1.4,4.1,1.839,32,2019,27,BAL,AL,154,602,106,175,38,2,35,97,63,3,143,9,0,5,22,1,0,0.291,0.364,0.535,0.899,*93D/7H
JorgeSoler,,solerjo01,679,164,3.6,-1.8,4.3,1.706,33,2019,27,KCR,AL,162,589,95,156,33,1,48,117,73,3,178,10,0,4,16,3,1,0.265,0.354,0.569,0.922,*D9/H
StarlinCastro,,castrst01,676,132,1.4,0.7,1.2,-0.004,-6,2019,29,MIA,NL,162,636,68,172,31,4,22,86,28,2,111,3,0,9,23,2,2,0.27,0.3,0.436,0.736,*45/6H
MattChapman,,chapmma01,670,157,8.3,3.9,4.8,3.584,23,2019,26,OAK,AL,156,583,102,145,36,3,36,91,73,0,147,11,0,3,12,1,1,0.249,0.342,0.506,0.848,*5
CesarHernandez,,hernace02,667,134,1.6,0,2.1,-0.662,-9,2019,29,PHI,NL,161,612,77,171,31,3,14,71,45,4,100,6,0,4,9,9,2,0.279,0.333,0.408,0.741,*4/H
EricHosmer,,hosmeer01,667,149,-0.2,-1.3,0.3,-0.197,-6,2019,29,SDP,NL,160,619,72,164,29,2,22,99,40,3,163,3,0,5,12,0,3,0.265,0.31,0.425,0.735,*3/HD
NicholasCastellanos,,casteni01,664,146,2.7,-1.5,3.5,2.018,19,2019,27,TOT,ML,151,615,100,178,58,3,27,73,41,1,143,5,0,3,12,2,2,0.289,0.337,0.525,0.863,*9D7
PaulDeJong,,dejonpa01,664,145,5.3,3.3,2.9,-1.683,-2,2019,25,STL,NL,159,583,97,136,31,1,30,78,62,1,149,13,0,6,15,9,5,0.233,0.318,0.444,0.762,*6/H
NolanArenado,,arenano01,662,179,6.7,2,5,4.009,27,2019,28,COL,NL,155,588,102,185,31,2,41,118,62,11,93,4,0,8,14,3,2,0.315,0.379,0.583,0.962,*5/H
EugenioSuarez,,suareeu01,662,141,3.9,-0.3,4.5,2.867,28,2019,27,CIN,NL,159,575,87,156,22,2,49,103,70,4,189,11,0,6,12,3,2,0.271,0.358,0.572,0.93,*5/HD
CodyBellinger,,bellico01,661,189,9.1,2,6.6,4.986,59,2019,23,LAD,NL,156,558,121,170,34,3,47,115,95,21,108,3,0,4,10,15,5,0.305,0.406,0.629,1.035,*938/H
MannyMachado,,machama01,661,134,2.6,0.1,3,-0.242,8,2019,26,SDP,NL,156,587,81,150,21,2,32,85,65,3,128,6,0,3,24,5,3,0.256,0.334,0.462,0.796,*56/H
Shin-SooChoo,,choosh01,660,130,1.5,-2.3,3,3.051,9,2019,36,TEX,AL,151,563,93,149,31,2,24,61,78,3,165,18,0,1,6,15,1,0.265,0.371,0.455,0.826,D97H
JoshDonaldson,,donaljo02,659,153,6,1.7,4.7,1.907,25,2019,33,ATL,NL,155,549,96,142,33,0,37,94,100,2,155,8,0,2,13,4,2,0.259,0.379,0.521,0.9,*5/HD
JuanSoto,,sotoju01,659,186,4.6,-0.7,4.8,3.401,35,2019,20,WSN,NL,150,542,110,153,32,5,34,110,108,3,132,3,0,6,11,12,1,0.282,0.401,0.548,0.949,*7
JDMartinez,,martijd02,657,167,3.4,-1.6,3.9,0.528,35,2019,31,BOS,AL,146,575,98,175,33,2,36,105,72,9,138,4,0,5,19,2,0,0.304,0.383,0.557,0.939,*D97/H
AdamEaton,,eatonad02,656,137,1.5,-0.9,1.9,0.874,2,2019,30,WSN,NL,151,566,103,158,25,7,15,49,65,0,106,13,9,3,8,15,3,0.279,0.365,0.428,0.792,*9/H7
TrevorStory,,storytr01,656,161,6.1,2.1,4.9,1.139,17,2019,26,COL,NL,145,588,111,173,38,5,35,85,58,0,174,7,0,3,3,23,8,0.294,0.363,0.554,0.917,*6/H
DJLeMahieu,,lemahdj01,655,185,5.9,0.8,5.2,3.03,31,2019,30,NYY,AL,145,602,109,197,33,2,26,102,46,0,90,2,1,4,14,5,2,0.327,0.375,0.518,0.893,*453/HD
AmedRosario,,rosaram01,655,132,2.4,-0.3,3.6,0.136,1,2019,23,NYM,NL,157,616,75,177,30,7,15,72,31,2,124,3,2,3,13,19,10,0.287,0.323,0.432,0.755,*6/HD7
FranciscoLindor,,lindofr01,654,143,5,1.9,3.8,0.892,15,2019,25,CLE,AL,143,598,101,170,40,2,32,74,46,9,98,3,1,6,13,22,5,0.284,0.335,0.518,0.854,*6/DH
TommyPham,,phamth01,654,124,3.8,-0.3,3.5,0.511,18,2019,31,TBR,AL,145,567,77,155,33,2,21,68,81,4,123,5,0,1,22,25,4,0.273,0.369,0.45,0.818,*7D/H
DavidFletcher,,fletcda02,653,126,4.5,2.2,2.7,0.704,-2,2019,25,LAA,AL,154,596,83,173,30,4,6,49,55,2,64,0,1,1,8,8,3,0.29,0.35,0.384,0.734,*5467/9H
ElvisAndrus,,andruel01,648,141,2,0.6,2.2,-1.288,-20,2019,30,TEX,AL,147,600,81,165,27,4,12,72,34,1,96,4,0,10,16,31,8,0.275,0.313,0.393,0.707,*6/D
MichaelConforto,,confomi01,648,149,3.4,-1,4,1.563,26,2019,26,NYM,NL,151,549,90,141,29,1,33,92,84,5,149,10,0,5,11,7,2,0.257,0.363,0.494,0.856,*98/H
AnthonyRendon,,rendoan01,646,209,6.4,0.4,6.4,4.76,48,2019,29,WSN,NL,146,545,117,174,44,3,34,126,80,8,86,12,0,9,13,5,1,0.319,0.412,0.598,1.01,*5/4
KevinPillar,,pillake01,645,150,0.9,-0.3,1.5,-1.331,-10,2019,30,TOT,ML,161,611,83,158,37,3,21,88,18,4,89,9,0,7,15,14,5,0.259,0.287,0.432,0.719,*89/HD
MichaelBrantley,,brantmi02,637,156,4.8,0.5,3.7,2.992,23,2019,32,HOU,AL,148,575,88,179,40,2,22,90,51,3,66,7,0,4,21,3,2,0.311,0.372,0.503,0.875,*7D/9H
CharlieBlackmon,,blackch02,634,166,2.1,-1.6,3.2,3.661,21,2019,32,COL,NL,140,580,112,182,42,7,32,86,40,1,104,9,0,5,11,2,5,0.314,0.364,0.576,0.94,*9/HD
KrisBryant,,bryankr01,634,154,3.7,-1,4.7,3.191,27,2019,27,CHC,NL,147,543,108,153,35,1,31,77,74,1,145,15,0,2,10,4,0,0.282,0.382,0.521,0.903,*597/D3H
AlexGordon,,gordoal01,633,140,1.5,-0.2,1.1,1.408,-1,2019,35,KCR,AL,150,556,77,148,31,1,13,76,51,4,100,19,1,6,13,5,3,0.266,0.345,0.396,0.741,*7/H1D
KoleCalhoun,,calhoko01,632,133,2.4,-0.4,2.2,0.342,7,2019,31,LAA,AL,152,552,92,128,29,1,33,74,70,7,162,7,0,2,14,4,1,0.232,0.325,0.467,0.792,*9/H8
YasmaniGrandal,,grandya01,632,128,2.4,-0.6,3.8,1.604,18,2019,30,MIL,NL,153,513,79,126,26,2,28,77,109,2,139,5,0,5,16,5,1,0.246,0.38,0.468,0.848,*23/HD
RandalGrichuk,,grichra01,628,124,0.4,-0.8,1,-2.136,-8,2019,27,TOR,AL,151,586,75,136,29,5,31,80,35,0,163,5,0,2,20,2,1,0.232,0.28,0.457,0.738,*98D/H
KetelMarte,,marteke01,628,157,7.2,1.1,6.6,3.275,41,2019,25,ARI,NL,144,569,97,187,36,9,32,92,53,2,86,4,0,2,7,10,2,0.329,0.389,0.592,0.981,*8*46/H
NickAhmed,,ahmedni01,625,142,4.3,2.4,2.8,0.007,-5,2019,29,ARI,NL,158,556,79,141,33,6,19,82,52,2,113,4,1,12,15,8,2,0.254,0.316,0.437,0.753,*6/H
LorenzoCain,,cainlo01,623,112,3,2.4,0.9,-3.421,-15,2019,33,MIL,NL,148,562,75,146,30,0,11,48,50,0,106,6,0,4,14,18,8,0.26,0.325,0.372,0.697,*8/H
LeuryGarcia,,garcile02,618,125,1.3,-0.6,1.9,-1.615,-14,2019,28,CHW,AL,140,577,93,161,27,3,8,40,21,0,139,6,11,3,6,15,5,0.279,0.31,0.378,0.688,*8976/H4D5
JeanSegura,,segurje01,618,127,1.5,0.2,2.1,1.402,-9,2019,29,PHI,NL,144,576,79,161,37,4,12,60,30,1,73,8,1,3,11,10,2,0.28,0.323,0.42,0.743,*6/H
VictorRobles,,roblevi01,617,134,4.1,2.7,1.8,0.838,-10,2019,22,WSN,NL,155,546,86,139,33,3,17,65,35,3,140,25,6,5,6,28,9,0.255,0.326,0.419,0.745,*89/H
BrandonBelt,,beltbr01,616,116,0.8,-0.8,0.8,-0.558,2,2019,31,SFG,NL,156,526,76,123,32,3,17,57,83,3,127,3,0,4,6,4,3,0.234,0.339,0.403,0.742,*3H7/9D
AndrewBenintendi,,beninan01,615,127,1.8,-0.5,1.9,-0.624,1,2019,24,BOS,AL,138,541,72,144,40,5,13,68,59,1,140,7,3,5,6,10,3,0.266,0.343,0.431,0.774,*78/HD
JoshBell,,belljo02,613,173,2.7,-1.8,3.6,2.951,35,2019,26,PIT,NL,143,527,94,146,37,3,37,116,74,13,118,5,0,7,11,0,1,0.277,0.367,0.569,0.936,*3/DH
AnthonyRizzo,,rizzoan01,613,156,3.8,-0.7,3.8,4.369,32,2019,29,CHC,NL,146,512,89,150,29,3,27,94,71,3,86,27,0,3,15,5,2,0.293,0.405,0.52,0.924,*3/H
YuliGurriel,,gourryu01,612,158,3.9,-0.1,3.5,1.819,21,2019,35,HOU,AL,144,564,85,168,40,2,31,104,37,2,65,5,0,6,12,5,3,0.298,0.343,0.541,0.884,*35/4HD
YasielPuig,,puigya01,611,136,1.3,-0.6,1.3,-0.855,-1,2019,28,TOT,ML,149,555,76,148,30,2,24,84,44,1,133,8,0,4,13,19,7,0.267,0.327,0.458,0.785,*9/HD
KyleSchwarber,,schwaky01,610,136,2.1,-1,2.6,0.588,16,2019,26,CHC,NL,155,529,82,132,29,3,38,92,70,5,156,5,0,6,6,2,3,0.25,0.339,0.531,0.871,*7H/D2
AdamFrazier,,fraziad01,608,120,2,0.1,2.3,1.103,-1,2019,27,PIT,NL,152,554,80,154,33,7,10,50,40,4,75,9,4,1,6,5,5,0.278,0.336,0.417,0.753,*4H
JoeyVotto,,vottojo01,608,111,1.9,0.1,1.1,-0.637,0,2019,35,CIN,NL,142,525,79,137,32,1,15,47,76,2,123,4,0,3,14,5,0,0.261,0.357,0.411,0.768,*3/HD7
GleyberTorres,,torregl01,604,148,3.1,-0.5,4.2,0.166,21,2019,22,NYY,AL,144,546,96,152,26,0,38,90,48,3,129,3,1,6,10,5,2,0.278,0.337,0.535,0.871,*64/DH
ChristianWalker,,walkech02,603,130,3,0.2,2,0.082,9,2019,28,ARI,NL,152,529,86,137,26,1,29,73,67,6,155,6,0,1,11,8,1,0.259,0.348,0.476,0.825,*3H/D
MikeTrout,,troutmi01,600,169,8.2,0.2,8.3,5.198,65,2019,27,LAA,AL,134,470,110,137,27,2,45,104,110,14,120,16,0,4,5,11,2,0.291,0.438,0.645,1.083,*8D/H
RenatoNunez,,nunezre01,599,131,0.4,-1.6,1,-1.36,1,2019,25,BAL,AL,151,541,72,132,24,0,31,90,44,1,143,10,0,4,9,1,1,0.244,0.311,0.46,0.771,*D3H/57
MaxKepler,,keplema01,596,152,4.1,0.8,3.2,2.596,17,2019,26,MIN,AL,134,524,98,132,32,0,36,90,60,0,99,8,0,4,5,1,5,0.252,0.336,0.519,0.855,*98/HD
JTRealmuto,,realmjt01,593,150,4.5,1.7,3.6,0.958,6,2019,28,PHI,NL,145,538,92,148,36,3,25,83,41,2,123,5,0,8,12,9,1,0.275,0.328,0.493,0.82,*2H/3D
AustinMeadows,,meadoau01,591,139,4,-1,4.3,2.466,32,2019,24,TBR,AL,138,530,83,154,29,7,33,89,54,6,131,7,0,0,3,12,7,0.291,0.364,0.558,0.922,9D7/H8
EddieRosario,,rosared01,590,168,1.7,-1.1,2.4,0.795,4,2019,27,MIN,AL,137,562,91,155,28,1,32,109,22,2,86,0,0,6,10,3,1,0.276,0.3,0.5,0.8,*79/H8D
FreddyGalvis,,galvifr01,589,114,2.6,1.3,1.9,-2.483,-8,2019,29,TOT,ML,147,557,67,145,28,1,23,70,28,1,145,1,1,2,14,4,2,0.26,0.296,0.438,0.734,*64/HD
JasonHeyward,,heywaja01,589,119,1.9,-0.2,1.9,-0.187,-1,2019,29,CHC,NL,147,513,78,129,20,4,21,62,68,5,110,5,0,3,12,8,3,0.251,0.343,0.429,0.772,*9*8/H
MaxMuncy,,muncyma01,589,164,5.7,1,4.7,4.623,26,2019,28,LAD,NL,141,487,101,122,22,1,35,98,90,1,149,8,0,4,5,4,1,0.251,0.374,0.515,0.889,435/H
HunterDozier,,doziehu01,586,133,3.2,-0.4,3.6,1.846,19,2019,27,KCR,AL,139,523,75,146,29,10,26,84,55,2,148,3,0,5,9,2,2,0.279,0.348,0.522,0.87,*59D/3H
StarlingMarte,,martest01,586,156,2.9,-0.7,4,0.53,15,2019,30,PIT,NL,132,539,97,159,31,6,23,82,25,1,94,16,2,4,15,25,6,0.295,0.342,0.503,0.845,*8/H
WillyAdames,,adamewi01,584,101,4.2,2.1,2.9,-1.619,-4,2019,23,TBR,AL,152,531,69,135,25,1,20,52,46,1,153,3,3,1,9,4,2,0.254,0.317,0.418,0.735,*6/H
MikeMoustakas,,moustmi01,584,132,2.8,0,3.2,1.115,10,2019,30,MIL,NL,143,523,80,133,30,1,35,87,53,5,98,6,0,2,12,3,0,0.254,0.329,0.516,0.845,*54/HD
RougnedOdor,,odorro01,581,140,0,0,0.4,-1.873,-18,2019,25,TEX,AL,145,522,77,107,30,1,30,93,52,2,178,5,1,1,4,11,9,0.205,0.283,0.439,0.721,*4/HD
ChristianYelich,,yelicch01,580,153,7,-0.8,7.3,7.121,60,2019,27,MIL,NL,130,489,100,161,29,3,44,97,80,16,118,8,0,3,8,30,2,0.329,0.429,0.671,1.1,*9/7HD8
DexterFowler,,fowlede01,574,117,1.5,-0.6,1.7,0.93,1,2019,33,STL,NL,150,487,69,116,24,1,19,67,74,1,142,8,1,4,6,8,5,0.238,0.346,0.409,0.754,*98H
TreaTurner,,turnetr01,569,134,3.3,0.4,3.6,2.172,10,2019,26,WSN,NL,122,521,96,155,37,5,19,57,43,2,113,3,0,2,10,35,5,0.298,0.353,0.497,0.85,*6
JackieBradleyJr,,bradlja02,567,110,1.9,0.3,2,-2.432,-8,2019,29,BOS,AL,147,494,69,111,28,3,21,62,56,3,155,12,3,2,6,8,6,0.225,0.317,0.421,0.738,*8/H9
JeffMcNeil,,mcneije01,567,135,4.9,0,4.7,1.452,34,2019,27,NYM,NL,133,510,83,162,38,1,23,75,35,2,75,21,0,1,5,5,6,0.318,0.384,0.531,0.916,*7945/H
MallexSmith,,smithma05,566,101,-0.1,-1,1,-0.899,-18,2019,26,SEA,AL,134,510,70,116,19,9,6,37,42,0,141,11,2,1,7,46,9,0.227,0.3,0.335,0.635,*89/7HD
JavierBaez,,baezja01,561,145,6,3.3,3.4,0.249,8,2019,26,CHC,NL,138,531,89,149,38,4,29,85,28,3,156,0,0,2,16,11,7,0.281,0.316,0.531,0.847,*6/HD5
BrandonCrawford,,crawfbr01,560,106,0.2,0.2,0.7,-1.543,-17,2019,32,SFG,NL,147,500,58,114,24,2,11,59,53,5,117,3,0,4,10,3,2,0.228,0.304,0.35,0.654,*6/H
YoanMoncada,,moncayo01,559,137,4.8,0,5.1,2.285,30,2019,24,CHW,AL,132,511,83,161,34,5,25,79,40,2,154,4,1,3,1,10,3,0.315,0.367,0.548,0.915,*5/HD
DanielVogelbach,,vogelda01,558,119,1.2,-1.5,1.6,1.019,10,2019,26,SEA,AL,144,462,73,96,17,0,30,76,92,2,149,2,0,2,4,0,0,0.208,0.341,0.439,0.78,*D3H
GeorgeSpringer,,springe01,556,153,6.4,1.2,5.1,1.881,35,2019,29,HOU,AL,122,479,96,140,20,3,39,96,67,1,113,6,0,4,12,6,2,0.292,0.383,0.591,0.974,*89D/H
YolmerSanchez,,sanchca01,555,100,1.3,1,0.8,-2.42,-18,2019,27,CHW,AL,149,496,59,125,20,4,2,43,44,1,117,5,7,3,7,5,4,0.252,0.318,0.321,0.638,*4/H
HanserAlberto,,alberha01,550,101,2.9,0.6,2.7,-1.145,-2,2019,26,BAL,AL,139,524,62,160,21,2,12,51,16,1,50,4,3,3,9,4,4,0.305,0.329,0.422,0.751,*45/H791D
BrettGardner,,gardnbr01,550,132,4.1,0.7,3.5,-0.21,11,2019,35,NYY,AL,141,491,86,123,26,7,28,74,52,0,108,4,0,3,6,10,2,0.251,0.325,0.503,0.829,*87/HD
JoshReddick,,reddijo01,550,99,1.4,0.5,0.3,0.14,-8,2019,32,HOU,AL,141,501,57,138,19,3,14,56,36,1,66,0,1,9,9,5,2,0.275,0.319,0.409,0.728,*97H/83D
MiguelCabrera,,cabremi01,549,88,-0.1,-1,-0.1,-0.761,-2,2019,36,DET,AL,136,493,41,139,21,0,12,59,48,4,108,3,0,5,18,0,0,0.282,0.346,0.398,0.744,*D3/H
MarcellOzuna,,ozunama01,549,140,1.9,-0.5,2,0.176,5,2019,28,STL,NL,130,485,80,117,23,1,29,89,62,2,114,1,0,1,21,12,2,0.241,0.328,0.472,0.8,*7/H
JustinTurner,,turneju01,549,120,4.1,-0.2,4.5,0.207,23,2019,34,LAD,NL,135,479,80,139,24,0,27,67,51,1,88,14,0,5,11,2,0,0.29,0.372,0.509,0.881,*5H/D4
KoltenWong,,wongko01,549,109,5.2,2.2,3.4,-0.525,6,2019,28,STL,NL,148,478,61,136,25,4,11,59,47,5,83,13,6,5,2,24,4,0.285,0.361,0.423,0.784,*4/H
JoseAltuve,,altuvjo01,548,132,3.8,0.4,3.7,0.405,22,2019,29,HOU,AL,124,500,89,149,27,3,31,74,41,0,82,3,1,3,19,6,5,0.298,0.353,0.55,0.903,*4/HD6
FranmilReyes,,reyesfr01,548,113,0.4,-1.9,1.5,-0.658,8,2019,23,TOT,ML,150,494,69,123,19,0,37,81,47,1,156,0,0,7,15,0,0,0.249,0.31,0.512,0.822,*9DH
MattOlson,,olsonma02,547,128,5.4,1.3,3.5,4.702,26,2019,25,OAK,AL,127,483,73,129,26,0,36,91,51,7,138,12,0,1,11,0,0,0.267,0.351,0.545,0.896,*3
OrlandoArcia,,arciaor01,546,95,-0.3,0.8,-0.4,-1.749,-28,2019,24,MIL,NL,152,494,51,110,16,1,15,59,43,5,109,1,2,6,15,8,5,0.223,0.283,0.35,0.633,*6/H
BryanReynolds,,reynobr01,546,135,4.1,0,3.7,2.583,24,2019,24,PIT,NL,134,491,83,154,37,4,16,68,46,0,121,6,0,3,9,3,2,0.314,0.377,0.503,0.88,*798/H
