Player,,,PA,R_prod,WAR/pos,dWAR,oWAR,WPA,BtRuns,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
AlbertPujols,,pujolal01,545,125,0.5,-0.6,0.4,0.128,-4,2019,39,LAA,AL,131,491,55,120,22,0,23,93,43,1,68,3,0,8,21,3,0,0.244,0.305,0.43,0.734,*3D/H5
DansbySwanson,,swansda01,545,125,1.5,0.7,1.5,-1.22,-8,2019,25,ATL,NL,127,483,77,121,26,3,17,65,51,2,124,5,1,5,7,10,5,0.251,0.325,0.422,0.748,*6/H
JoseRamirez,,ramirjo01,542,128,3.4,0.8,2.9,0.923,5,2019,26,CLE,AL,129,482,68,123,33,3,23,83,52,3,74,2,0,6,8,24,4,0.255,0.327,0.479,0.806,*5/DH
CoreySeager,,seageco01,541,150,3.3,0.7,3.3,0.988,11,2019,25,LAD,NL,134,489,82,133,44,1,19,87,44,3,98,4,0,4,8,1,0,0.272,0.335,0.483,0.817,*6/H
RyanMcMahon,,mcmahry01,539,129,1.2,0.4,1.1,-0.107,-11,2019,24,COL,NL,141,480,70,120,22,1,24,83,56,1,160,1,1,1,14,5,1,0.25,0.329,0.45,0.779,*453H
KhrisDavis,,daviskh01,533,111,-0.3,-0.9,-0.5,-0.855,-13,2019,31,OAK,AL,133,481,61,106,11,0,23,73,47,3,146,3,0,2,11,0,0,0.22,0.293,0.387,0.679,*D/H7
KevinNewman,,newmake01,531,113,3.1,0,3.8,2.086,7,2019,25,PIT,NL,130,493,61,152,20,6,12,64,28,2,62,7,2,1,5,16,8,0.308,0.353,0.446,0.8,*64H/57
AvisailGarcia,,garciav01,530,113,2.1,-0.2,1.8,-0.145,7,2019,28,TBR,AL,125,489,61,138,25,2,20,72,31,2,125,7,0,3,15,10,4,0.282,0.332,0.464,0.796,*9D8/H
JosÃ©Iglesias,,iglesjo01,530,110,1.4,1.3,0.8,0.659,-13,2019,29,CIN,NL,146,504,62,145,21,3,11,59,20,3,70,3,1,2,17,6,6,0.288,0.318,0.407,0.724,*6/H
AdamJones,,jonesad01,528,117,-0.6,-1.2,0.2,0.001,-10,2019,33,ARI,NL,137,485,66,126,25,1,16,67,31,2,101,8,0,3,15,2,1,0.26,0.313,0.414,0.728,*9H/8
MiguelRojas,,rojasmi02,526,93,1.4,0.7,1.3,-1.681,-5,2019,30,MIA,NL,132,483,52,137,29,1,5,46,32,2,62,5,1,5,15,9,5,0.284,0.331,0.379,0.71,*6/3H4
WilsonRamos,,ramoswi01,524,111,2.2,0.4,2.5,1.86,6,2019,31,NYM,NL,141,473,52,136,19,0,14,73,44,5,69,4,0,3,16,1,0,0.288,0.351,0.416,0.768,*2H/D
NelsonCruz,,cruzne02,521,148,4.4,-0.9,4.2,3.465,45,2019,38,MIN,AL,120,454,81,141,26,0,41,108,56,8,131,7,0,3,14,0,1,0.311,0.392,0.639,1.031,*D/H
ChristianVazquez,,vazquch01,521,115,2.3,0.6,2.3,-0.314,1,2019,28,BOS,AL,138,482,66,133,26,1,23,72,33,3,101,0,3,3,17,4,2,0.276,0.32,0.477,0.798,*2HD3/54
BrianAnderson,,anderbr06,520,103,3.7,1.1,2.6,0.014,11,2019,26,MIA,NL,126,459,57,120,33,1,20,66,44,1,114,14,0,3,15,5,1,0.261,0.342,0.468,0.811,*59/HD
TimAnderson,,anderti01,518,119,3.7,-0.4,4.7,1.822,20,2019,26,CHW,AL,123,498,81,167,32,0,18,56,15,0,109,3,0,2,12,17,5,0.335,0.357,0.508,0.865,*6/HD
JuricksonProfar,,profaju01,518,112,0.3,-0.9,1.5,0.004,-6,2019,26,OAK,AL,139,459,65,100,24,2,20,67,48,2,75,8,0,3,12,9,1,0.218,0.301,0.41,0.711,*4H/D73
AsdrubalCabrera,,cabreas01,514,142,0.8,-0.7,1.7,0.373,-1,2019,33,TOT,ML,131,447,69,116,25,1,18,91,57,2,103,3,0,7,9,4,0,0.26,0.342,0.441,0.783,*54/H3
VladimirGuerreroJr,,guerrvl02,514,106,1.5,-0.7,2.3,0.431,5,2019,20,TOR,AL,123,464,52,126,26,2,15,69,46,0,91,2,0,2,17,0,1,0.272,0.339,0.433,0.772,*5D/H
JocPederson,,pederjo01,514,121,3.2,-0.1,2.6,1.727,17,2019,27,LAD,NL,149,450,83,112,16,3,36,74,50,2,111,12,0,2,4,1,1,0.249,0.339,0.538,0.876,*79H3/8D
JasonKipnis,,kipnija01,511,100,0.7,-0.1,1.1,-0.862,-11,2019,32,CLE,AL,121,458,52,112,23,1,17,65,40,2,88,2,5,6,7,7,2,0.245,0.304,0.41,0.715,*4/D
DannySantana,,santada01,511,134,2,-0.6,2.4,1.072,7,2019,28,TEX,AL,130,474,81,134,23,6,28,81,25,2,151,6,0,5,8,21,6,0.283,0.324,0.534,0.857,38479H/65D
LukeVoit,,voitlu01,510,113,1.4,-1.8,2.4,1.637,18,2019,28,NYY,AL,118,429,72,113,21,1,21,62,71,2,142,9,0,1,12,0,0,0.263,0.378,0.464,0.842,*3D/H
RyanBraun,,braunry02,508,123,1.7,-0.9,2.1,1.509,11,2019,35,MIL,NL,144,459,70,131,31,2,22,75,34,1,105,8,0,3,15,11,1,0.285,0.343,0.505,0.849,*7H/D9
EvanLongoria,,longoev01,508,108,2.5,0.8,2,1.71,2,2019,33,SFG,NL,129,453,59,115,19,2,20,69,43,1,112,7,0,5,14,3,1,0.254,0.325,0.437,0.762,*5H
DomingoSantana,,santado01,507,111,0.5,-1.9,1.9,0.061,6,2019,26,SEA,AL,121,451,63,114,20,1,21,69,50,1,164,2,0,2,11,8,3,0.253,0.329,0.441,0.77,79D/H
EloyJimenez,,jimenel02,504,117,1.5,-1.4,2.4,-0.024,10,2019,22,CHW,AL,122,468,69,125,18,2,31,79,30,0,134,4,0,2,11,0,0,0.267,0.315,0.513,0.828,*7/D
ColinMoran,,moranco01,503,113,-1.1,-2,1.1,-0.843,-1,2019,26,PIT,NL,149,466,46,129,30,1,13,80,30,4,117,3,0,4,13,0,1,0.277,0.322,0.429,0.751,*5H4/37
ScottKingery,,kingesc01,500,100,2.8,1,2.1,-0.61,-1,2019,25,PHI,NL,126,458,64,118,34,4,19,55,34,1,147,5,1,2,3,15,4,0.258,0.315,0.474,0.788,*85674/H9
JustinSmoak,,smoakju01,500,93,0.3,-1.3,0.8,1.337,2,2019,32,TOR,AL,121,414,54,86,16,0,22,61,79,3,106,6,0,1,11,0,0,0.208,0.342,0.406,0.748,*3D/H
CJCron,,croncj01,499,104,1.7,0,1.1,-1.966,1,2019,29,MIN,AL,125,458,51,116,24,0,25,78,29,3,107,10,0,2,13,0,0,0.253,0.311,0.469,0.78,*3/HD
ToddFrazier,,frazito01,499,109,1.8,-0.2,2.3,-0.248,4,2019,33,NYM,NL,133,447,63,112,19,2,21,67,40,1,106,12,0,0,9,1,2,0.251,0.329,0.443,0.772,*5H/3D
MarkCanha,,canhama01,497,112,4.3,-0.5,4.6,1.268,30,2019,30,OAK,AL,126,410,80,112,16,3,26,58,67,1,107,18,0,2,10,3,2,0.273,0.396,0.517,0.913,89D3H7
HunterRenfroe,,renfrhu01,494,95,2.7,1.6,0.5,0.03,0,2019,27,SDP,NL,140,440,64,95,19,1,33,64,46,1,154,2,0,6,6,5,0,0.216,0.289,0.489,0.778,*97H/8
MattCarpenter,,carpema01,492,90,1.2,0.6,0.9,-0.13,-4,2019,33,STL,NL,129,416,59,94,20,2,15,46,63,0,129,7,1,5,3,6,1,0.226,0.334,0.392,0.726,*5H/3D
JoePanik,,panikjo01,491,84,-0.6,-0.5,0.2,-0.139,-14,2019,28,TOT,NL,142,438,50,107,21,2,5,39,43,2,47,4,2,4,6,4,2,0.244,0.315,0.336,0.651,*4H
WilMyers,,myerswi01,490,93,-0.4,-1.4,0.7,-2.351,-3,2019,28,SDP,NL,155,435,58,104,22,1,18,53,51,0,168,2,1,1,12,16,7,0.239,0.321,0.418,0.739,*78H/395
Ji-ManChoi,,choiji01,487,98,2,-0.6,2,1.219,14,2019,28,TBR,AL,127,410,54,107,20,2,19,63,64,2,108,6,0,7,7,2,3,0.261,0.363,0.459,0.822,*3HD
EdwinEncarnacion,,encared01,486,133,2.9,-0.6,2.8,2.556,20,2019,36,TOT,AL,109,418,81,102,18,0,34,86,58,1,103,7,0,3,4,0,1,0.244,0.344,0.531,0.875,*3D/H4
IanDesmond,,desmoia01,482,109,-1.8,-2.2,0.4,-0.662,-10,2019,33,COL,NL,140,443,64,113,31,4,20,65,34,1,119,2,1,2,12,3,3,0.255,0.31,0.479,0.788,*87H/D1
BrianDozier,,doziebr01,482,84,0.7,-0.3,1.3,-0.517,-3,2019,32,WSN,NL,135,416,54,99,20,0,20,50,61,2,105,4,0,1,11,3,4,0.238,0.34,0.43,0.771,*4H/1
RobbieGrossman,,grossro01,482,89,1,0,0.6,-0.609,-6,2019,29,OAK,AL,138,420,57,101,21,3,6,38,59,2,86,1,0,2,7,9,4,0.24,0.334,0.348,0.682,*7H9/8
OscarMercado,,mercaos01,482,109,2.5,1,1.6,-0.633,-3,2019,24,CLE,AL,115,438,70,118,25,3,15,54,28,0,84,5,7,4,9,15,4,0.269,0.318,0.443,0.761,*87/9HD
OmarNarvaez,,narvaom01,482,96,2.3,-0.3,3.1,0.781,13,2019,27,SEA,AL,132,428,63,119,12,0,22,55,47,1,92,4,0,3,5,0,0,0.278,0.353,0.46,0.813,*2DH/4
RamonLaureano,,laurera01,481,122,3.6,0.1,3.8,2.038,19,2019,24,OAK,AL,123,434,79,125,29,0,24,67,27,0,123,11,1,8,7,13,2,0.288,0.34,0.521,0.86,*89/H
KevinKiermaier,,kiermke01,480,101,2.4,1.7,1,-0.873,-15,2019,29,TBR,AL,129,447,60,102,20,7,14,55,26,2,104,5,1,1,8,19,5,0.228,0.278,0.398,0.676,*8/HD
DanielMurphy,,murphda08,478,121,0.3,-0.4,0.1,0.194,-9,2019,34,COL,NL,132,438,56,122,35,1,13,78,32,1,74,2,0,4,10,1,1,0.279,0.328,0.452,0.78,*3H/D4
JamesMcCann,,mccanja02,476,104,3.7,1.3,3,-0.197,5,2019,29,CHW,AL,118,439,62,120,26,1,18,60,30,1,137,6,1,0,10,4,1,0.273,0.328,0.46,0.789,*2D/H
GioUrshela,,urshegi01,476,126,3.9,0.5,3.7,2.325,22,2019,27,NYY,AL,132,442,73,139,34,0,21,74,25,1,87,5,0,4,13,1,1,0.314,0.355,0.534,0.889,*5H/D37
NikoGoodrum,,goodrni01,472,94,1.6,-0.2,1.9,-1.537,-4,2019,27,DET,AL,112,423,61,105,27,5,12,45,46,1,138,1,0,2,7,12,3,0.248,0.322,0.421,0.743,6473/89DH5
NickMarkakis,,markani01,469,114,1,-0.8,1.3,0.255,0,2019,35,ATL,NL,116,414,61,118,25,2,9,62,47,1,59,2,0,6,11,2,0,0.285,0.356,0.42,0.776,*9/7HD
NomarMazara,,mazarno01,469,116,0.7,-0.7,1,0.131,-3,2019,24,TEX,AL,116,429,69,115,27,1,19,66,28,2,108,6,0,6,5,4,1,0.268,0.318,0.469,0.786,*9/HD
JorgeAlfaro,,alfarjo01,465,83,1.3,0.3,1.7,-1.787,-4,2019,26,MIA,NL,130,431,44,113,14,1,18,57,22,1,154,10,0,2,12,4,4,0.262,0.312,0.425,0.736,*2H/3D
TeoscarHernandez,,hernate01,464,97,1.2,-0.7,1.9,-0.837,2,2019,26,TOR,AL,125,417,58,96,19,2,26,65,45,1,153,1,0,1,8,6,3,0.23,0.306,0.472,0.778,*87H/D
JonathanSchoop,,schoojo01,464,97,1.6,0.4,1.5,-1.334,0,2019,27,MIN,AL,121,433,61,111,23,1,23,59,20,1,116,10,0,1,13,1,1,0.256,0.304,0.473,0.777,*4/HD
MarwinGonzalez,,gonzama01,463,92,1.8,0.9,0.7,0.954,-4,2019,30,MIN,AL,114,425,52,112,19,0,15,55,31,2,98,6,0,1,7,1,0,0.264,0.322,0.414,0.736,9537/HD46
EnriqueHernandez,,hernaen02,460,104,2.2,1.6,0.8,-0.927,-8,2019,27,LAD,NL,130,414,57,98,19,1,17,64,36,3,97,6,0,4,9,4,0,0.237,0.304,0.411,0.715,*4H8967/35
EricThames,,thameer01,459,103,1.6,-0.7,1.6,2.217,10,2019,32,MIL,NL,149,396,67,98,23,2,25,61,51,4,140,10,0,2,0,3,2,0.247,0.346,0.505,0.851,*3H9/D
BrianGoodwin,,goodwbr01,458,95,2.2,-0.1,2.1,0.276,6,2019,28,LAA,AL,136,413,65,108,29,3,17,47,38,2,129,3,1,3,3,7,3,0.262,0.326,0.47,0.796,*78H9/D
JDDavis,,davisjd01,453,100,1,-2.4,3.1,2.321,23,2019,26,NYM,NL,140,410,65,126,22,1,22,57,38,2,97,3,0,2,14,3,0,0.307,0.369,0.527,0.895,*7H5/D
JarrodDyson,,dysonja01,452,85,1.4,1.4,0.1,-0.777,-21,2019,34,ARI,NL,130,400,65,92,11,2,7,27,47,0,86,2,1,2,1,30,4,0.23,0.313,0.32,0.633,*89H7
YadierMolina,,molinya01,452,92,1.3,0.8,1.2,-0.464,-9,2019,36,STL,NL,113,419,45,113,24,0,10,57,23,0,58,5,0,5,14,6,0,0.27,0.312,0.399,0.711,*2/3H5
RobertoPerez,,perezro02,449,85,4,2.7,2.1,1.066,-2,2019,30,CLE,AL,119,389,46,93,9,1,24,63,45,1,127,4,7,4,12,0,0,0.239,0.321,0.452,0.774,*2/D
BrandonDrury,,drurybr01,447,69,-1.2,-1,-0.1,-0.978,-19,2019,26,TOR,AL,120,418,43,91,21,1,15,41,25,0,113,1,0,3,6,0,1,0.218,0.262,0.38,0.642,*5943/76HD
AaronJudge,,judgeaa01,447,103,5.5,1.7,3.4,2.784,25,2019,27,NYY,AL,102,378,75,103,18,1,27,55,64,4,141,3,0,1,11,3,2,0.272,0.381,0.54,0.921,*9D/H
RaimelTapia,,tapiara01,447,89,-0.8,-0.8,-0.3,-1.389,-19,2019,25,COL,NL,138,426,54,117,23,5,9,44,21,0,100,0,0,0,2,9,3,0.275,0.309,0.415,0.724,*7H8/9D
HaroldRamirez,,ramirha02,446,93,0.3,-0.9,0.9,1.148,-5,2019,24,MIA,NL,119,421,54,116,20,3,11,50,18,1,91,5,0,1,8,2,1,0.276,0.312,0.416,0.728,*798H
GarySanchez,,sanchga02,446,105,3.1,0.7,2.9,-0.359,10,2019,26,NYY,AL,106,396,62,92,12,1,34,77,40,3,125,9,0,1,3,0,1,0.232,0.316,0.525,0.841,*2D/H
BusterPosey,,poseybu01,445,74,0.9,1,0.6,-1.375,-8,2019,32,SFG,NL,114,405,43,104,24,0,7,38,34,1,71,4,1,1,18,0,0,0.257,0.32,0.368,0.688,*2H/3D
AdalbertoMondesi,,mondera02,443,111,2.4,1.4,1.5,-0.616,-10,2019,23,KCR,AL,102,415,58,109,20,10,9,62,19,0,132,0,3,6,6,43,7,0.263,0.291,0.424,0.715,*6/DH
KyleSeager,,seageky01,443,95,2.8,0.6,2.4,0.394,7,2019,31,SEA,AL,106,393,55,94,19,1,23,63,44,0,86,4,0,2,12,2,2,0.239,0.321,0.468,0.789,*5/HD
EricSogard,,sogarer01,442,86,2.6,-0.1,2.8,0.594,10,2019,33,TOT,AL,110,396,59,115,23,2,13,40,38,2,63,2,3,3,4,8,0,0.29,0.353,0.457,0.81,*4DH/9567
ManuelMargot,,margoma01,441,84,1.8,0.7,1.3,-0.947,-10,2019,24,SDP,NL,151,398,59,93,19,3,12,37,38,1,88,2,3,0,6,20,4,0.234,0.304,0.387,0.691,*8H
MiguelSano,,sanomi01,439,121,3,-0.5,3.6,1.022,21,2019,26,MIN,AL,105,380,76,94,19,2,34,79,55,0,159,3,0,1,5,0,1,0.247,0.346,0.576,0.923,*5/3DH
RobinsonChirinos,,chiriro01,437,98,3.8,1.7,2.8,-0.757,5,2019,35,HOU,AL,114,366,57,87,22,1,17,58,51,1,125,13,2,5,11,1,2,0.238,0.347,0.443,0.79,*2/H
CavanBiggio,,biggica01,430,98,2.9,-0.1,3.1,1.803,9,2019,24,TOR,AL,100,354,66,83,17,2,16,48,71,0,123,2,0,2,0,14,0,0.234,0.364,0.429,0.793,*4/39DH7
MaikelFranco,,francma02,428,87,-0.6,-0.1,-0.3,0.321,-12,2019,26,PHI,NL,123,389,48,91,17,0,17,56,36,19,61,0,0,3,14,0,0,0.234,0.297,0.409,0.705,*5H/3
ShoheiOhtani,,ohtansh01,425,95,2.5,-0.7,2.4,0.373,12,2019,24,LAA,AL,106,384,51,110,20,5,18,62,33,1,110,2,0,4,6,12,3,0.286,0.343,0.505,0.848,*DH
AndreltonSimmons,,simmoan01,424,80,1.9,1.8,0.7,-1.569,-12,2019,29,LAA,AL,103,398,47,105,19,0,7,40,24,1,37,2,0,0,21,10,2,0.264,0.309,0.364,0.673,*6/HD
JakeBauers,,bauerja01,423,77,-0.7,-0.8,-0.5,-1.815,-12,2019,23,CLE,AL,117,372,46,84,16,1,12,43,45,0,115,3,0,3,3,3,3,0.226,0.312,0.371,0.683,7D3/H
RobinsonCano,,canoro01,423,72,0.3,-0.5,1,-0.849,-1,2019,36,NYM,NL,107,390,46,100,28,0,13,39,25,3,69,5,0,3,16,0,0,0.256,0.307,0.428,0.736,*4/HD
DavidPeralta,,peralda01,423,93,1.9,0.6,1,1.123,4,2019,31,ARI,NL,99,382,48,105,29,3,12,57,35,3,87,5,0,1,9,0,0,0.275,0.343,0.461,0.804,*7/HD
GarrettCooper,,coopega03,421,87,1.6,-0.3,1.4,0.444,6,2019,28,MIA,NL,107,381,52,107,16,1,15,50,33,0,110,5,0,2,10,0,0,0.281,0.344,0.446,0.791,*39/HD
DeeStrange-Gordon,,gordode01,421,67,0.8,-0.1,1.2,-0.268,-10,2019,31,SEA,AL,117,393,36,108,12,6,3,34,18,1,61,1,3,6,8,22,5,0.275,0.304,0.359,0.663,*4/HD6
BrandonDixon,,dixonbr01,420,78,-0.4,-1.1,0.2,-0.469,-8,2019,27,DET,AL,117,391,41,97,20,4,15,52,21,0,136,4,0,4,5,5,1,0.248,0.29,0.435,0.725,*37DH/95418
ChristinStewart,,stewach02,416,62,-0.3,-0.5,-0.2,-0.187,-9,2019,25,DET,AL,104,369,32,86,25,1,10,40,34,3,103,7,0,6,4,0,1,0.233,0.305,0.388,0.693,*7D/H
NickSenzel,,senzeni01,414,85,0.6,0,0.8,-0.686,-7,2019,24,CIN,NL,104,375,55,96,20,4,12,42,30,0,101,3,0,1,6,14,5,0.256,0.315,0.427,0.742,*8H/4
ChrisTaylor,,tayloch03,414,92,1.7,-0.2,1.9,0.691,5,2019,28,LAD,NL,124,366,52,96,29,4,12,52,37,3,115,4,2,5,6,8,0,0.262,0.333,0.462,0.794,76H84/59
DavidDahl,,dahlda01,413,113,0.4,-1.4,1.6,0.271,6,2019,25,COL,NL,100,374,67,113,28,5,15,61,28,0,110,4,2,5,3,4,4,0.302,0.353,0.524,0.877,879/H
RioRuiz,,ruizri01,413,69,-0.2,-0.3,0.3,1.382,-11,2019,25,BAL,AL,127,370,35,86,13,2,12,46,40,0,88,0,1,2,12,0,1,0.232,0.306,0.376,0.682,*5H3/D4
TonyWolters,,wolteto01,411,83,1.5,2.1,0.1,-0.18,-19,2019,27,COL,NL,121,359,42,94,17,2,1,42,36,5,68,8,2,6,9,0,1,0.262,0.337,0.329,0.666,*2/H45
MikeYastrzemski,,yastrmi01,411,98,2.8,0.2,2.1,0.338,12,2019,28,SFG,NL,107,371,64,101,22,3,21,55,32,1,107,4,1,3,4,2,4,0.272,0.334,0.518,0.852,*7*9H/8
WillsonContreras,,contrwi01,409,97,3.1,0.7,3,-0.215,13,2019,27,CHC,NL,105,360,57,98,18,2,24,64,38,2,102,9,0,2,4,1,2,0.272,0.355,0.533,0.888,*2/H397D
RowdyTellez,,tellero01,409,82,0,-0.8,0.1,-1.224,-3,2019,24,TOR,AL,111,370,49,84,19,0,21,54,29,3,116,7,0,3,9,1,1,0.227,0.293,0.449,0.742,*3DH
DelinoDeShields,,deshide02,408,70,1.5,1.2,0.7,-0.203,-16,2019,26,TEX,AL,118,357,42,89,15,4,4,32,38,0,100,3,8,2,8,24,6,0.249,0.325,0.347,0.672,*8H/D
HarrisonBader,,baderha01,406,81,2.1,1.5,0.8,0.161,-11,2019,25,STL,NL,128,347,54,71,14,3,12,39,46,4,117,10,1,2,3,11,3,0.205,0.314,0.366,0.68,*8H
LuisRengifo,,rengilu01,406,70,1.2,0.4,1.2,-0.654,-8,2019,22,LAA,AL,108,357,44,85,18,3,7,33,40,0,93,5,1,3,6,2,5,0.238,0.321,0.364,0.685,*46/H
AnthonySantander,,santaan02,405,85,1.4,-0.2,1.3,-0.484,0,2019,24,BAL,AL,93,380,46,99,20,1,20,59,19,0,86,2,1,3,1,1,2,0.261,0.297,0.476,0.773,*978/DH
JosePeraza,,perazjo01,403,64,-0.9,0.4,-1,-2.084,-22,2019,25,CIN,NL,141,376,37,90,18,2,6,33,17,0,58,8,0,2,9,7,6,0.239,0.285,0.346,0.631,*467H/851
NickyLopez,,lopezni01,402,72,0.1,0.6,-0.1,-2.505,-23,2019,24,KCR,AL,103,379,44,91,22,2,2,30,18,0,51,1,4,0,5,1,1,0.24,0.276,0.325,0.601,*46/HD
MelkyCabrera,,cabreme01,397,83,-1.3,-2,0.3,-0.331,-7,2019,34,PIT,NL,133,378,43,106,22,1,7,47,17,3,41,1,1,0,14,2,0,0.28,0.313,0.399,0.713,*9H7/D
JPCrawford,,crawfjp01,396,82,1.1,0.1,1.5,-0.006,-5,2019,24,SEA,AL,93,345,43,78,21,4,7,46,43,0,83,2,3,3,4,5,3,0.226,0.313,0.371,0.684,*6
StephenPiscotty,,piscost01,393,77,0.8,-0.1,0.6,-0.966,-3,2019,28,OAK,AL,93,357,46,89,17,1,13,44,29,0,84,3,1,3,13,2,0,0.249,0.309,0.412,0.72,*9/DH
DwightSmithJr,,smithdw02,392,86,-0.8,-1.3,0.2,-1.536,-8,2019,26,BAL,AL,101,357,46,86,16,3,13,53,26,0,82,4,1,4,8,5,1,0.241,0.297,0.412,0.708,*7H/D
Travisd'Arnaud,,darnatr01,391,105,0.9,-0.2,1.5,0.51,-1,2019,30,TOT,ML,103,351,52,88,16,0,16,69,32,0,85,2,0,6,4,0,1,0.251,0.312,0.433,0.745,*23H/D
JeimerCandelario,,candeje01,386,57,0.5,0.4,0.2,-1.627,-15,2019,25,DET,AL,94,335,33,68,17,2,8,32,43,1,99,7,0,1,3,3,1,0.203,0.306,0.337,0.643,*53/HD
DannyJansen,,janseda01,384,71,1.1,1.4,0.3,-1.025,-15,2019,24,TOR,AL,107,347,41,72,12,1,13,43,31,1,79,4,1,1,8,0,1,0.207,0.279,0.36,0.64,*2/DH
JesseWinker,,winkeje01,384,73,0.7,-0.8,1.2,-0.039,6,2019,25,CIN,NL,113,338,51,91,17,2,16,38,38,2,60,8,0,0,10,0,2,0.269,0.357,0.473,0.83,*7H89/D
MichaelChavis,,chavimi01,382,86,0.6,-0.3,0.8,-0.126,-3,2019,23,BOS,AL,95,347,46,88,10,1,18,58,31,2,127,4,0,0,11,2,1,0.254,0.322,0.444,0.766,*34/H5D
